bath,beds,elevation,price,price_per_sqft,sqft,target,year_built
1.0,2.0,61,599000,847,707,1,1942
1.0,3.0,66,648800,490,1325,1,1940
2.0,2.0,72,649000,492,1320,1,1924
2.0,3.0,102,535000,293,1824,1,1967
1.0,2.0,108,699000,777,900,1,1913
1.0,2.0,108,699000,777,900,1,1913
2.5,3.0,139,879000,416,2111,1,1981
2.5,3.0,139,879000,416,2111,1,1981
2.0,3.0,33,1195000,856,1396,1,1907
3.5,5.0,59,3995000,1193,3350,1,1905
1.0,1.0,74,650000,1083,600,1,1955
1.0,1.0,74,650000,1083,600,1,1955
1.0,1.0,74,775000,1292,600,1,1955
2.0,2.0,46,989000,1001,988,1,1984
1.0,3.0,68,1095000,747,1465,1,1895
1.0,1.0,70,725000,894,811,1,1900
1.0,1.0,70,725000,894,811,1,1900
4.0,4.0,75,2650000,694,3816,1,1900
2.0,2.0,89,1680000,908,1850,1,1962
2.5,3.0,35,799000,571,1400,1,1947
1.0,2.0,41,699000,703,995,1,1944
2.0,3.0,42,848000,565,1500,1,1940
2.0,3.0,52,899000,540,1665,1,1948
2.0,3.0,52,899000,540,1665,1,1948
4.0,6.0,79,1198000,610,1965,1,1937
3.0,3.0,91,1100000,418,2633,1,1925
5.0,5.0,108,2990000,598,5000,1,2014
3.0,4.0,119,1338800,575,2330,1,1940
2.5,3.0,160,1388000,729,1905,1,1928
2.0,3.0,227,989000,617,1603,1,1940
1.0,1.0,91,599000,960,624,1,1900
1.0,1.0,91,599000,960,624,1,1900
2.0,3.0,57,1395000,743,1877,1,1909
2.0,3.0,67,1099000,754,1457,1,1905
5.5,5.0,73,3495000,811,4310,1,1921
2.0,3.0,73,2395000,1031,2323,1,1929
2.5,4.0,75,2549000,928,2746,1,1907
3.0,4.0,102,1698000,949,1789,1,1890
2.0,3.0,49,1080000,553,1954,1,1914
1.0,1.0,70,739900,846,875,1,1941
1.0,2.0,14,699000,583,1200,1,1907
1.0,2.0,36,799000,695,1150,1,1938
2.5,4.0,62,995000,456,2180,1,1915
1.0,2.0,84,875000,756,1158,1,1908
3.0,5.0,97,950000,515,1846,1,1939
6.5,6.0,3,9500000,1753,5420,1,1937
2.5,2.0,48,2495000,1379,1809,1,1940
2.0,2.0,50,2000000,1318,1518,1,1925
3.5,4.0,62,9895000,1643,6024,1,2008
2.5,3.0,5,899000,646,1391,1,2015
2.5,3.0,5,929000,668,1391,1,2015
1.0,2.0,13,480000,706,680,1,1915
1.0,1.0,19,499000,464,1076,1,1900
2.0,2.0,31,767000,556,1380,1,1916
1.0,3.0,35,660000,434,1520,1,1900
3.5,3.0,127,2250000,691,3258,1,1928
1.0,3.0,141,1319000,753,1752,1,1925
3.5,5.0,176,1698000,613,2769,1,1966
2.0,3.0,216,995000,762,1305,1,1956
2.0,2.0,54,1895000,1079,1756,1,1907
1.0,1.0,56,599000,881,680,1,1961
3.0,4.0,61,1895000,928,2041,1,2001
2.0,3.0,66,1799000,999,1800,1,1926
1.0,2.0,98,1495000,879,1700,1,1908
2.0,3.0,112,1495000,914,1635,1,1937
2.0,4.0,131,1798000,877,2050,1,1951
2.0,2.0,139,849000,546,1555,1,1978
2.5,3.0,163,995000,508,1959,1,1976
3.0,4.0,163,1388000,610,2275,1,1968
2.0,3.0,185,1080000,709,1524,1,1989
1.0,2.0,24,915000,731,1251,1,1954
2.0,3.0,34,725000,492,1474,1,1975
1.0,2.0,63,795000,633,1256,1,1941
1.0,1.0,80,439000,658,667,1,2002
1.0,2.0,123,599000,478,1254,1,1941
2.5,3.0,143,1294000,607,2133,1,2015
2.0,2.0,35,1495000,1273,1174,1,1913
2.5,2.0,76,3495000,1776,1968,1,1900
2.0,4.0,11,699000,451,1550,1,1949
1.0,2.0,64,699000,666,1050,1,1949
3.0,3.0,79,888000,571,1555,1,1975
3.0,3.0,90,758000,351,2157,1,1989
2.0,2.0,1,1698000,1048,1620,1,2008
1.0,1.0,4,788000,873,903,1,2004
1.0,2.0,106,695000,665,1045,1,1923
2.0,3.0,106,1650000,1113,1483,1,1922
1.0,1.0,163,649000,764,850,1,1983
2.0,3.0,216,995000,762,1305,1,1956
